,City Name,Cloudiness (%),Country,Date,Humidity (%),Lat,Lng,Max Temp (F),Wind Speed (MPH)
268,Pitimbu,20,BR,1551826800,94,-7.47,-34.81,77.0,4.7
269,Mapiripan,36,CO,1551829461,46,2.89,-72.13,87.21,6.62
270,Katghora,0,IN,1551829461,88,22.51,82.55,58.46,6.51
271,Kruisfontein,0,ZA,1551829461,76,-34.0,24.73,66.24,12.21
272,Talnakh,76,RU,1551829461,79,69.49,88.39,9.81,12.77
273,Puerto Carreno,75,CO,1551826800,41,6.19,-67.49,95.0,4.7
274,Acapulco,5,MX,1551826140,74,16.86,-99.88,82.4,10.29
275,Santa Fe,80,AR,1551829408,79,-31.62,-60.7,75.0,7.63
276,Anchorage,75,US,1551829283,68,61.22,-149.89,36.0,5.82
277,Yumen,44,CN,1551829462,74,40.29,97.04,21.65,2.71
278,Port-Cartier,20,CA,1551826800,46,50.03,-66.88,10.4,12.75
279,Liuli,44,TZ,1551829462,100,-11.1,34.65,74.34,5.95
280,College,40,US,1551829124,53,64.86,-147.8,30.0,3.36
281,Conde,80,BR,1551829209,87,-11.81,-37.61,81.45,7.52
282,Adrar,0,DZ,1551826800,20,27.87,-0.29,64.4,11.41
283,Saa,0,NG,1551829463,87,7.32,10.08,72.63,3.15
284,Constitucion,5,MX,1551828617,7,23.99,-104.67,86.0,12.75
285,Ondjiva,64,AO,1551829463,75,-17.07,15.73,71.51,11.43
286,Zlitan,0,LY,1551829361,96,32.47,14.57,43.83,2.93
287,Coos Bay,90,US,1551829233,65,43.37,-124.22,46.4,4.94
288,Cayenne,92,GF,1551828600,88,4.94,-52.33,77.0,1.12
289,Nelson Bay,0,AU,1551829232,45,-32.72,152.14,91.0,5.82
290,Roanoke Rapids,1,US,1551829146,35,36.46,-77.65,39.2,8.63
291,Touros,40,BR,1551826800,88,-5.2,-35.46,78.8,3.36
292,Kattivakkam,20,IN,1551826800,88,13.22,80.32,80.6,5.82
293,Dingle,36,PH,1551829201,79,11.0,122.67,78.8,12.33
294,Meulaboh,8,ID,1551828999,100,4.14,96.13,78.84,5.17
295,Alpena,90,US,1551829443,43,45.06,-83.43,15.8,6.93
296,Caldwell,20,US,1551829359,42,43.67,-116.69,48.99,18.34
297,Necochea,80,AR,1551829245,54,-38.55,-58.74,66.56,5.06
298,Angoche,64,MZ,1551829464,100,-16.23,39.91,79.29,12.44
299,Neuquen,0,AR,1551826800,52,-38.95,-68.06,68.0,4.5
300,Aberystwyth,92,GB,1551828616,95,52.41,-4.08,46.99,14.0
301,Pyinmana,24,MM,1551829464,85,19.74,96.21,66.42,3.6
302,Sheregesh,20,RU,1551829464,68,52.93,87.98,14.13,2.26
303,Torbat-E Jam,92,IR,1551829464,97,35.24,60.63,36.09,7.96
304,Itacurubi Del Rosario,24,PY,1551829465,66,-24.5,-56.68,82.35,7.18
305,Marsa Matruh,0,EG,1551829465,81,31.35,27.25,40.95,3.38
306,Mayskiy,32,RU,1551826800,51,43.63,44.06,37.4,4.47
307,Rio Gallegos,90,AR,1551826800,53,-51.62,-69.22,51.8,8.41
308,Fort Nelson,75,CA,1551826800,67,58.81,-122.69,17.6,3.36
309,Kampene,36,CD,1551829466,95,-3.59,26.67,70.02,2.26
310,Moron,56,VE,1551829466,95,10.49,-68.2,69.53,2.59
311,Voi,0,KE,1551829466,92,-3.4,38.57,63.45,2.37
312,Yoichi,75,JP,1551829211,80,43.19,140.77,37.0,13.87
313,Yabrud,0,SY,1551828683,80,33.97,36.66,39.2,2.26
314,Chokurdakh,20,RU,1551828829,35,70.62,147.9,-23.85,3.04
315,Sorland,80,NO,1551829190,100,67.67,12.69,36.05,26.53
316,Conceicao Do Araguaia,20,BR,1551829047,93,-8.26,-49.26,72.54,2.93
317,Saint Albans,90,US,1551829458,92,44.81,-73.08,21.2,4.7
318,Liwale,92,TZ,1551829467,98,-9.8,37.92,72.45,3.04
319,Cidreira,76,BR,1551829403,83,-30.17,-50.22,75.96,3.71
320,Berlevag,44,NO,1551829467,100,70.86,29.09,15.8,6.4
321,Waipawa,0,NZ,1551829156,43,-39.94,176.59,80.01,8.01
322,Baijiantan,76,CN,1551829165,66,45.63,85.18,13.91,3.04
323,Blagodatnoye,88,RU,1551828689,88,51.57,35.54,35.01,13.0
324,Udachnyy,48,RU,1551829467,81,66.42,112.4,20.43,5.61
325,Olinda,75,EC,1551828662,78,-2.03,-79.75,82.4,4.7
326,Kamaishi,75,JP,1551826800,74,39.28,141.86,35.6,1.12
327,Vanimo,80,PG,1551829468,100,-2.67,141.3,81.36,10.54
328,Chenghai,90,CN,1551826800,100,23.46,116.77,62.6,6.29
329,Faanui,80,PF,1551828993,100,-16.48,-151.75,84.33,5.73
330,Oranjemund,0,ZA,1551829468,92,-28.55,16.43,63.27,11.43
331,Ozark,1,US,1551829436,42,37.02,-93.21,32.0,14.99
332,Luderitz,0,NA,1551829072,83,-26.65,15.16,60.71,7.74
333,Kailua,75,US,1551829236,78,21.39,-157.74,78.8,13.87
334,Niono,0,ML,1551829469,47,14.25,-5.99,61.29,4.16
335,Ilo,20,PE,1551829469,85,-17.65,-71.34,68.13,2.71
336,Nara,75,JP,1551828701,66,34.68,135.8,51.01,1.12
337,Kavieng,20,PG,1551829001,98,-2.57,150.8,85.05,4.16
338,Pacifica,90,US,1551829459,76,37.61,-122.49,57.2,21.92
339,Ixtapa,5,MX,1551829203,78,20.71,-105.21,78.01,10.29
340,Esperance,20,TT,1551828723,83,10.24,-61.45,78.01,8.05
341,Saint-Francois,0,FR,1551826800,80,46.42,3.91,39.2,3.36
342,Burnie,0,AU,1551829327,63,-41.05,145.91,60.01,17.0
343,Belmonte,92,PT,1551828757,70,40.36,-7.35,57.99,21.0
344,Deer Lake,90,CA,1551828900,85,49.18,-57.43,23.0,17.22
345,Sao Joao Da Barra,75,BR,1551826800,88,-21.64,-41.05,78.8,4.7
346,Okhotsk,8,RU,1551829346,90,59.36,143.24,11.03,5.61
347,Avera,1,US,1551829458,21,33.19,-82.53,51.8,12.75
348,Marsh Harbour,44,BS,1551829469,96,26.54,-77.06,77.76,14.45
349,Ayan,0,TR,1551829476,94,40.67,33.6,28.62,4.61
350,Buala,80,SB,1551829477,80,-8.15,159.59,85.91,8.41
351,Balkhash,92,KZ,1551829477,97,46.84,74.98,19.13,7.85
352,Broome,92,GB,1551829446,93,52.47,1.45,48.2,10.29
353,Rizhao,0,CN,1551829478,46,35.43,119.46,41.18,13.0
354,Kemi,0,FI,1551828000,55,65.74,24.56,10.4,5.82
355,Juneau,1,US,1551826560,43,58.3,-134.42,35.6,6.93
356,Guerrero Negro,68,MX,1551829031,56,27.97,-114.04,69.57,6.73
357,Miramar,40,CR,1551828695,60,10.09,-84.73,77.0,17.22
358,Donskoye,0,RU,1551826800,33,45.45,41.98,44.6,11.18
359,Ponta Delgada,40,PT,1551829177,62,37.73,-25.67,55.4,12.75
360,Dzerzhinsk,90,RU,1551828667,93,56.24,43.46,35.01,15.66
361,Kununurra,0,AU,1551827700,74,-15.77,128.74,84.2,3.36
362,Saldanha,92,PT,1551829006,89,41.42,-6.55,51.71,16.8
363,Zyryanka,68,RU,1551829177,69,65.73,150.89,-5.45,3.38
364,Vardo,40,US,1551828811,36,39.62,-77.74,35.6,16.11
365,Sompeta,92,IN,1551829494,96,18.93,84.6,69.66,3.27
366,Araouane,8,ML,1551829421,24,18.9,-3.53,56.75,5.5
367,New Amsterdam,0,GY,1551829494,73,6.25,-57.52,78.84,8.41
368,Cherdyn,92,RU,1551829495,85,60.4,56.48,20.88,15.12
369,Fukue,75,JP,1551829450,71,35.03,136.69,54.0,9.17
370,San Vicente,20,SV,1551828926,62,13.64,-88.78,86.0,6.93
371,Basco,1,US,1551829397,41,40.33,-91.2,21.2,12.75
372,Nishihara,75,JP,1551829031,81,35.74,139.53,54.0,3.36
373,Auki,0,NG,1551829496,44,12.18,6.51,68.22,3.94
374,Monrovia,20,LR,1551826800,94,6.33,-10.8,78.8,7.96
375,Husavik,80,CA,1551829205,68,50.56,-96.99,12.99,4.0
376,Bay Roberts,90,CA,1551829405,73,47.58,-53.28,28.0,21.92
377,Barahona,75,DO,1551826800,74,18.21,-71.1,80.6,14.99
378,Cockburn Town,8,TC,1551829213,97,21.46,-71.14,78.08,11.77
379,Adre,24,TD,1551829497,30,13.47,22.2,74.07,10.42
380,Mali,100,CN,1551829497,95,27.53,102.2,37.71,1.7
381,Baracoa,0,CU,1551829426,100,20.35,-74.5,76.68,6.17
382,Mount Isa,0,AU,1551826800,40,-20.73,139.49,86.0,6.93
383,Yuanping,0,CN,1551828863,46,38.72,112.71,19.8,3.6
384,Nerja,0,ES,1551829481,87,36.75,-3.88,60.01,2.24
385,Prince Rupert,1,CA,1551826800,30,54.32,-130.32,41.0,6.93
386,Bayburt,20,TR,1551829498,71,40.26,40.22,9.54,2.37
387,Mankono,92,CI,1551829498,72,8.06,-6.19,82.85,2.15
388,Puerto Baquerizo Moreno,0,EC,1551826800,74,-0.9,-89.6,82.4,14.99
389,Puerto Leguizamo,80,CO,1551829498,94,-0.19,-74.78,76.59,0.69
390,Lata,0,IN,1551829143,78,30.78,78.62,30.11,2.71
391,Praia,20,BR,1551826800,69,-20.25,-43.81,73.4,9.17
392,Sinnamary,92,GF,1551829498,100,5.38,-52.96,74.7,10.54
393,Havre-Saint-Pierre,75,CA,1551826980,72,50.23,-63.6,17.6,24.16
394,Coahuayana,0,MX,1551829499,27,18.62,-100.35,86.31,2.82
395,Ambunti,92,PG,1551829499,100,-4.22,142.82,73.08,2.59
396,Sanmenxia,32,CN,1551829499,82,34.77,111.19,37.44,2.59
397,Bandar-E Lengeh,0,IR,1551829499,100,26.56,54.88,68.31,3.94
398,Zavet,20,BG,1551828657,71,42.84,27.06,53.6,10.29
399,Concordia,8,AR,1551829013,80,-31.4,-58.02,75.99,3.6
400,Sal Rei,20,CV,1551826800,77,16.18,-22.92,68.0,13.87
401,Grand-Santi,80,GF,1551829500,94,4.27,-54.38,74.21,2.15
402,Winslow,90,GB,1551829474,93,51.94,-0.88,50.0,13.87
403,Saint-Georges,56,CA,1551828766,65,46.12,-70.67,10.99,1.01
404,Nanortalik,80,GL,1551829500,100,60.14,-45.24,25.29,31.68
405,Alice Springs,0,AU,1551826800,28,-23.7,133.88,82.4,13.87
406,Katsuura,75,JP,1551828282,70,33.93,134.5,52.0,5.82
407,Biltine,0,TD,1551829504,36,14.53,20.93,71.15,6.4
408,Saint-Paul,0,FR,1551829213,63,45.22,1.9,50.0,8.05
409,Srednekolymsk,76,RU,1551829504,74,67.46,153.71,-6.98,3.27
410,Zhigansk,88,RU,1551829508,87,66.77,123.37,6.48,11.1
411,Gualaquiza,88,EC,1551829508,89,-3.4,-78.58,67.5,1.14
412,Nouadhibou,0,MR,1551826800,82,20.93,-17.03,64.4,14.99
413,Kyzyl-Oktyabr,0,KG,1551829512,55,42.77,75.73,6.66,2.37
414,Sri Aman,80,MY,1551826800,100,1.24,111.46,73.4,3.36
415,Chopda,0,IN,1551829513,59,21.25,75.3,55.8,4.72
416,Torgau,0,DE,1551829506,74,51.56,13.0,37.99,5.82
417,Daru,0,SL,1551829523,64,7.99,-10.85,79.88,9.98
418,Padang,40,ID,1551826800,94,-0.92,100.36,69.8,1.12
419,Vila Do Maio,20,CV,1551826800,73,15.13,-23.22,69.8,19.46
420,Ayagoz,80,KZ,1551829251,86,47.96,80.43,20.7,3.04
421,Kamalia,0,PK,1551829525,85,30.73,72.64,51.98,2.82
422,Omihachiman,64,JP,1551829441,82,35.15,136.07,51.01,1.01
423,Marawi,0,PH,1551828623,81,8.0,124.29,75.99,5.01
424,La Ronge,20,CA,1551826800,51,55.1,-105.3,10.4,12.75
425,Ketchikan,1,US,1551826560,48,55.34,-131.65,44.6,17.22
426,Deep River,90,CA,1551828702,78,46.1,-77.49,12.2,6.93
427,Koundara,68,GN,1551829529,23,12.49,-13.3,75.51,8.97
428,Skelleftea,8,SE,1551829304,65,64.75,20.95,10.0,10.29
429,Turkan,12,AF,1551829531,83,35.6,68.92,0.23,1.59
430,Moerai,56,PF,1551829531,100,-22.43,-151.33,78.8,8.63
431,Chateauroux,0,FR,1551829512,66,43.72,0.65,51.8,10.29
432,Stuttgart,75,DE,1551829341,93,48.78,9.18,44.01,2.24
433,Novo Aripuana,48,BR,1551829531,81,-5.12,-60.38,81.41,1.92
434,Itaqui,0,BR,1551829535,66,-29.13,-56.55,81.0,6.4
435,Karratha,0,AU,1551829289,53,-20.74,116.85,85.41,5.17
436,Muhos,32,FI,1551829417,78,64.81,26.0,12.2,14.99
437,Tarko-Sale,76,RU,1551829489,85,64.92,77.78,-4.01,11.21
438,Wilmington,1,US,1551829301,46,39.75,-75.55,32.0,3.36
439,Victoria,75,BN,1551826800,100,5.28,115.24,78.8,2.24
440,Ahipara,0,NZ,1551829199,68,-35.17,173.16,72.68,0.36
441,Diamantino,56,BR,1551829545,80,-14.4,-56.44,78.21,3.94
442,Aragarcas,12,BR,1551829549,81,-15.9,-52.25,73.76,3.94
443,Kudahuvadhoo,8,MV,1551829376,100,2.67,72.89,82.76,8.63
444,Grand Gaube,20,MU,1551826800,74,-20.01,57.66,80.6,3.36
445,Joensuu,0,FI,1551828000,84,62.6,29.76,-0.41,6.93
446,Terrace,5,CA,1551826800,25,54.52,-128.61,37.4,10.29
447,Marion,1,US,1551829404,49,38.35,-97.02,28.4,13.87
448,Port Shepstone,36,ZA,1551829558,91,-30.74,30.45,74.16,12.44
449,Camacha,40,PT,1551826800,82,33.08,-16.33,62.6,14.99
450,Kiama,0,AU,1551829325,35,-34.67,150.86,84.2,10.29
451,Bastia,40,IT,1551829540,76,44.6,8.98,53.6,5.82
452,Bahar,0,IR,1551826800,79,34.91,48.44,26.6,4.7
453,Hay River,20,CA,1551826800,61,60.82,-115.79,12.2,3.36
454,Gwadar,0,PK,1551829559,100,25.12,62.33,59.49,5.39
455,Whitehorse,5,CA,1551828768,41,60.72,-135.06,19.4,13.87
456,Acajutla,40,SV,1551829221,70,13.59,-89.83,87.8,9.17
457,Sola,75,NO,1551829559,100,58.89,5.65,39.99,13.87
458,Borogontsy,56,RU,1551829489,75,62.67,131.17,-3.78,3.6
459,Nome,1,US,1551829059,34,30.04,-94.42,50.0,11.41
460,Wattegama,0,LK,1551829560,91,7.35,80.68,65.97,2.71
461,Bilibino,92,RU,1551828994,74,68.06,166.44,-0.9,3.15
462,Tekeli,0,KZ,1551829560,67,44.86,78.76,18.36,2.82
463,Inverell,24,AU,1551829430,50,-29.78,151.11,82.99,5.01
464,Mosquera,40,CO,1551826800,77,4.71,-74.23,60.8,9.17
465,Belas,75,PT,1551829552,87,38.78,-9.26,60.01,23.04
466,Paamiut,64,GL,1551829561,100,61.99,-49.67,27.9,9.75
467,Uray,8,RU,1551829561,78,60.13,64.8,4.28,7.63
468,Bagdarin,32,RU,1551829561,61,54.44,113.59,1.35,2.37
469,Pisco,40,PE,1551826800,30,-13.71,-76.2,71.6,23.04
470,Lahij,100,YE,1551829562,93,13.06,44.88,73.35,3.6
471,Lazaro Cardenas,75,MX,1551829506,22,28.39,-105.62,71.01,17.22
472,Kalmunai,76,LK,1551829343,100,7.42,81.82,75.6,3.15
473,Jalu,0,LY,1551829562,77,29.03,21.55,44.33,2.82
474,Seydi,0,NE,1551829562,55,13.34,7.75,67.91,4.72
475,Itupiranga,75,BR,1551826800,100,-5.13,-49.33,77.0,2.59
476,Hohhot,0,CN,1551826800,66,40.81,111.65,12.2,4.47
477,Axim,44,GH,1551829410,100,4.87,-2.24,81.9,8.97
478,Salalah,0,OM,1551826200,60,17.01,54.1,75.2,1.12
479,Kasongo-Lunda,20,CD,1551829286,98,-6.48,16.82,68.4,1.59
480,Finschhafen,92,PG,1551829563,100,-6.6,147.85,73.17,2.93
481,Escarcega,76,MX,1551829563,47,18.61,-90.75,88.38,4.16
482,Marks,1,US,1551829221,34,34.26,-90.27,37.4,8.05
483,Manokwari,76,ID,1551829028,100,-0.87,134.08,80.15,0.36
484,Ternate,20,PH,1551829057,73,14.29,120.72,79.0,10.76
485,Craig,75,US,1551829530,68,40.52,-107.55,37.4,3.94
486,Makakilo City,75,US,1551828937,47,21.35,-158.09,78.8,11.41
487,Los Llanos De Aridane,32,ES,1551828710,72,28.66,-17.92,62.6,4.7
488,Fallon,1,US,1551826560,52,46.84,-105.12,17.6,10.29
489,Abu Samrah,92,SY,1551829564,98,35.3,37.18,48.83,4.83
490,Taraclia,0,UA,1551829565,59,45.9,28.68,39.96,7.29
491,Aswan,0,EG,1551829565,79,24.09,32.9,48.38,5.28
492,Pultusk,0,PL,1551829556,80,52.7,21.08,41.0,18.34
493,Caravelas,80,BR,1551829285,100,-17.73,-39.27,83.79,12.1
494,Mersing,80,MY,1551829565,93,2.43,103.84,78.53,4.38
495,Shumyachi,76,RU,1551829565,92,53.86,32.43,32.58,23.17
496,Eyl,80,SO,1551829468,100,7.98,49.82,75.78,12.33
497,Richmond,20,CA,1551829530,31,49.16,-123.14,48.0,12.75
498,Semirom,0,IR,1551829566,54,31.41,51.57,6.26,2.48
499,Tommot,76,RU,1551829566,75,58.97,126.27,15.35,3.6
500,Tupelo,1,US,1551829201,25,34.26,-88.7,39.99,10.29
501,Melfort,90,CA,1551826800,61,52.87,-104.61,12.2,17.22
502,Rehoboth,76,NA,1551829567,42,-23.31,17.08,72.36,1.92
503,De Aar,0,ZA,1551829567,66,-30.65,24.01,61.02,2.37
504,Bella Union,88,CO,1551829567,58,8.5,-73.35,77.4,2.59
505,Hun,80,BE,1551829536,87,50.34,4.87,48.2,10.29
506,Merauke,24,ID,1551829567,100,-8.49,140.4,80.73,4.61
507,Qandala,36,SO,1551829568,100,11.47,49.87,68.81,1.59
508,Tselinnoye,80,UA,1551829568,79,45.9,34.18,38.79,5.73
509,Gondanglegi,8,ID,1551829568,99,-7.75,112.01,73.53,3.6
510,Sabzevar,0,IR,1551829568,77,36.21,57.68,29.3,1.92
511,Biak,12,ID,1551829361,89,-0.91,122.88,81.95,2.37
512,Arlit,0,NE,1551829139,50,18.74,7.39,60.39,3.38
513,Medea,20,DZ,1551826800,93,36.27,2.77,50.0,2.24
514,Severomuysk,8,RU,1551829569,56,56.17,113.57,-9.05,1.7
515,Suntar,20,RU,1551829347,83,62.16,117.65,15.66,7.74
516,Honiara,32,SB,1551829569,81,-9.43,159.96,83.16,3.6
517,Omsukchan,80,RU,1551829573,74,62.53,155.8,-4.95,4.38
518,Sechura,32,PE,1551829576,75,-5.56,-80.82,78.98,7.4
519,Orcopampa,76,PE,1551829576,96,-15.27,-72.34,33.84,1.7
520,Kodinsk,8,RU,1551829576,69,58.6,99.18,21.2,7.63
521,Tortoli,20,IT,1551826500,100,39.93,9.66,55.4,16.11
522,Pangnirtung,75,CA,1551826800,83,66.15,-65.72,-4.01,4.7
523,Ajdabiya,0,LY,1551829587,84,30.75,20.22,40.41,2.82
524,Ilulissat,20,GL,1551826200,51,69.22,-51.1,14.0,9.17
525,Mezen,80,RU,1551829587,78,65.85,44.24,6.08,2.15
526,Fortuna,75,ES,1551829355,93,38.18,-1.13,57.2,4.7
527,Meaux,0,FR,1551829326,81,48.96,2.9,48.2,12.75
528,Ustyuzhna,88,RU,1551829591,87,58.84,36.43,20.34,15.68
529,Dandong,76,CN,1551829600,98,40.12,124.37,35.06,3.94
530,Coruripe,92,BR,1551829601,96,-10.12,-36.18,82.4,11.43
531,Dunedin,0,NZ,1551829228,42,-45.87,170.5,75.0,3.0
532,Palestine,1,US,1551829585,33,31.76,-95.63,45.0,9.17
533,Bonavista,0,CA,1551829567,78,48.65,-53.11,27.0,15.01
534,Asyut,0,EG,1551829636,78,27.18,31.19,49.5,6.51
535,Matcha,92,RU,1551829636,95,54.63,42.35,35.06,13.22
536,Salym,0,RU,1551829636,86,60.06,71.48,6.57,5.17
537,San Juan,40,PR,1551829636,65,18.47,-66.12,78.8,10.29
